Date;Numéro de facture;Code Article;Vendeur;Responsable de Service;Prix Unitaire de Billet;Remise Accordée;Prix de Vente par Unité;Coût Unitaire;Quantité;Code Postal
01/01/2013;1;10;Wendel Westborne;John Jones;34,95;0;34,95;22,13;11;3033
01/01/2013;2;40;Sally Summer;John Jones;16,95;0,1;15,26;6,53;7;3014
01/01/2013;3;39;Benny Bernanke;John Jones;26,95;0;26,95;12,24;23;3020
01/01/2013;4;6;Wendel Westborne;John Jones;55,95;0;55,95;16,06;30;3019
01/01/2013;5;27;Wendel Westborne;John Jones;4,95;0;4,95;1,82;11;3032
01/01/2013;5;15;Wendel Westborne;John Jones;28,95;0;28,95;17,53;35;3032
01/01/2013;6;16;Benny Bernanke;John Jones;27,95;0;27,95;15,85;1;3017
01/01/2013;7;11;Wendel Westborne;John Jones;65,95;0,1;59,36;37,97;10;3013
01/01/2013;8;7;Benny Bernanke;John Jones;20,95;0,3;14,67;10,04;23;3020
01/01/2013;9;11;Wendel Westborne;John Jones;65,95;0,1;59,36;37,97;3;3025
01/01/2013;10;45;Sally Summer;John Jones;38,95;0;38,95;22,33;6;3014
01/01/2013;10;26;Sally Summer;John Jones;0,95;0;0,95;0,42;11;3014
01/01/2013;10;29;Sally Summer;John Jones;40,95;0;40,95;15,51;3;3014
01/01/2013;11;39;Wendel Westborne;John Jones;26,95;0;26,95;12,24;18;3012
01/01/2013;12;45;Sally Summer;John Jones;38,95;0;38,95;22,33;1;3015
01/01/2013;12;50;Sally Summer;John Jones;24,95;0;24,95;12,14;2;3015
01/01/2013;12;13;Sally Summer;John Jones;26,95;0;26,95;13,26;18;3015
01/01/2013;13;23;Wendel Westborne;John Jones;2,95;0;2,95;1,68;12;3021
01/01/2013;14;3;Benny Bernanke;John Jones;59,95;0;59,95;28,73;6;3020
01/01/2013;15;41;Sally Summer;John Jones;18,95;0;18,95;9,98;27;3032
01/01/2013;16;1;Wendel Westborne;John Jones;43,95;0;43,95;25,6;5;3017
01/01/2013;17;19;Sally Summer;John Jones;49,95;0;49,95;24,77;34;3023
01/01/2013;18;1;Wendel Westborne;John Jones;43,95;0;43,95;25,6;16;3028
01/01/2013;19;16;Benny Bernanke;John Jones;27,95;0;27,95;15,85;2;3030
01/01/2013;20;45;Sally Summer;John Jones;38,95;0;38,95;22,33;2;3033
01/01/2013;21;42;Benny Bernanke;John Jones;35,95;0;35,95;20,25;2;3016
01/01/2013;21;47;Benny Bernanke;John Jones;28,95;0;28,95;8,86;26;3016
02/01/2013;22;31;Amy Apple;Mary Mansfield;0,95;0;0,95;0,34;3;3016
02/01/2013;23;42;Kelly Clark;Mary Mansfield;35,95;0;35,95;20,25;1;3022
02/01/2013;23;10;Kelly Clark;Mary Mansfield;34,95;0;34,95;22,13;3;3022
02/01/2013;24;39;Amy Apple;Mary Mansfield;26,95;0;26,95;12,24;14;3019
02/01/2013;24;40;Amy Apple;Mary Mansfield;16,95;0;16,95;6,53;23;3019
02/01/2013;24;6;Amy Apple;Mary Mansfield;55,95;0;55,95;16,06;17;3019
02/01/2013;25;10;Kelly Clark;Mary Mansfield;34,95;0;34,95;22,13;8;3013
02/01/2013;26;10;Amy Apple;Mary Mansfield;34,95;0;34,95;22,13;3;3010
02/01/2013;27;2;Kelly Clark;Mary Mansfield;44,95;0;44,95;27,95;1;3028
03/01/2013;28;28;Sally Summer;Mary Mansfield;0,95;0,1;0,86;0,5;2;3033
03/01/2013;29;21;Wendel Westborne;Mary Mansfield;26,95;0;26,95;12,42;20;3023
03/01/2013;30;5;Sally Summer;Mary Mansfield;24,95;0;24,95;12,27;7;3022
03/01/2013;30;40;Sally Summer;Mary Mansfield;16,95;0;16,95;6,53;17;3022
03/01/2013;31;48;Sally Summer;Mary Mansfield;3,95;0;3,95;1,43;21;3019
03/01/2013;32;36;Wendel Westborne;Mary Mansfield;26,95;0;26,95;12,53;19;3025
03/01/2013;32;41;Wendel Westborne;Mary Mansfield;18,95;0;18,95;9,98;20;3025
03/01/2013;32;30;Wendel Westborne;Mary Mansfield;10,95;0;10,95;4,8;7;3025
03/01/2013;33;5;Sally Summer;Mary Mansfield;24,95;0;24,95;12,27;7;3028
03/01/2013;34;8;Wendel Westborne;Mary Mansfield;7,95;0,1;7,16;4,53;13;3033
03/01/2013;35;31;Wendel Westborne;Mary Mansfield;0,95;0;0,95;0,34;17;3033
03/01/2013;35;29;Wendel Westborne;Mary Mansfield;40,95;0;40,95;15,51;1;3033
03/01/2013;36;50;Sally Summer;Mary Mansfield;24,95;0;24,95;12,14;2;3015
03/01/2013;37;7;Wendel Westborne;Mary Mansfield;20,95;0;20,95;10,04;10;3010
03/01/2013;38;50;Wendel Westborne;Mary Mansfield;24,95;0;24,95;12,14;3;3029
03/01/2013;39;33;Sally Summer;Mary Mansfield;19,95;0;19,95;9,78;13;3024
03/01/2013;39;25;Sally Summer;Mary Mansfield;0,95;0;0,95;0,35;22;3024
04/01/2013;40;11;Kelly Clark;Mary Mansfield;65,95;0;65,95;37,97;16;3022
04/01/2013;41;20;Benny Bernanke;Mary Mansfield;16,95;0;16,95;6,76;10;3030
04/01/2013;42;28;Kelly Clark;Mary Mansfield;0,95;0;0,95;0,5;20;3031
04/01/2013;43;40;Benny Bernanke;Mary Mansfield;16,95;0;16,95;6,53;16;3017
04/01/2013;44;25;Benny Bernanke;Mary Mansfield;0,95;0;0,95;0,35;6;3018
04/01/2013;44;41;Benny Bernanke;Mary Mansfield;18,95;0;18,95;9,98;16;3018
04/01/2013;44;1;Benny Bernanke;Mary Mansfield;43,95;0;43,95;25,6;5;3018
04/01/2013;45;43;Kelly Clark;Mary Mansfield;11,95;0;11,95;3,32;7;3017
04/01/2013;46;3;Benny Bernanke;Mary Mansfield;59,95;0;59,95;28,73;5;3013
05/01/2013;47;2;Sally Summer;Mary Mansfield;44,95;0;44,95;27,95;3;3025
05/01/2013;47;34;Sally Summer;Mary Mansfield;37,95;0;37,95;15,35;8;3025
05/01/2013;48;9;Sally Summer;Mary Mansfield;48,95;0;48,95;24,52;9;3012
05/01/2013;48;17;Sally Summer;Mary Mansfield;49,95;0;49,95;23,93;28;3012
05/01/2013;49;17;Benny Bernanke;Mary Mansfield;49,95;0;49,95;23,93;36;3013
05/01/2013;50;49;Sally Summer;Mary Mansfield;63,95;0;63,95;27,1;2;3015
05/01/2013;50;6;Sally Summer;Mary Mansfield;55,95;0;55,95;16,06;25;3015
05/01/2013;51;4;Benny Bernanke;Mary Mansfield;73,95;0;73,95;38,86;1;3031
05/01/2013;52;21;Sally Summer;Mary Mansfield;26,95;0;26,95;12,42;7;3028
05/01/2013;53;40;Benny Bernanke;Mary Mansfield;16,95;0;16,95;6,53;28;3029
06/01/2013;54;26;Amy Apple;John Jones;0,95;0;0,95;0,42;19;3012
06/01/2013;54;39;Amy Apple;John Jones;26,95;0,1;24,26;12,24;10;3012
06/01/2013;54;24;Amy Apple;John Jones;27,95;0;27,95;16,8;35;3012
